op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
CONV_2D,226,100352.0,0.016114173,0.00057588244,0.19697422,0.00026017308,0.023529412,-128,mobilenet_1.00_224/conv_pw_11_relu/Relu6;mobilenet_1.00_224/conv_pw_11_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise;mobilenet_1.00_224/conv_pw_11/Conv2D
PAD,230,115200.0,0.0,0.0,0.0,0.0,0.023529412,-128,mobilenet_1.00_224/conv_pad_12/Pad
DEPTHWISE_CONV_2D,234,25088.0,0.0063858014,0.00023986558,0.02868794,4.084184e-05,0.023529412,-128,mobilenet_1.00_224/conv_dw_12_relu/Relu6;mobilenet_1.00_224/conv_dw_12_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise
CONV_2D,238,50176.0,0.021266257,-0.00012837288,0.26631135,0.00045303738,0.023529412,-128,mobilenet_1.00_224/conv_pw_12_relu/Relu6;mobilenet_1.00_224/conv_pw_12_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_pw_13/Conv2D;mobilenet_1.00_224/conv_pw_12/Conv2D
DEPTHWISE_CONV_2D,242,50176.0,0.0055913264,0.00014179763,0.07216392,3.130064e-05,0.023529412,-128,mobilenet_1.00_224/conv_dw_13_relu/Relu6;mobilenet_1.00_224/conv_dw_13_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_pw_13/Conv2D;mobilenet_1.00_224/conv_dw_13/depthwise
CONV_2D,246,50176.0,0.049118526,0.00074576307,0.6042189,0.0024197225,0.023529412,-128,mobilenet_1.00_224/conv_pw_13_relu/Relu6;mobilenet_1.00_224/conv_pw_13_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_pw_13/Conv2D
MEAN,250,1024.0,0.0062815524,0.0007588222,0.012485191,4.0143794e-05,0.023529412,-128,mobilenet_1.00_224/global_average_pooling2d_1/Mean
RESHAPE,257,1024.0,0.0,0.0,0.0,0.0,0.023529412,-128,mobilenet_1.00_224/reshape_1/Reshape
CONV_2D,261,1000.0,0.06356363,-0.00092167815,0.20511441,0.0040501403,0.1816101,-62,mobilenet_1.00_224/conv_preds/BiasAdd;mobilenet_1.00_224/conv_preds/Conv2D;mobilenet_1.00_224/conv_preds/BiasAdd/ReadVariableOp
RESHAPE,268,1000.0,0.0,0.0,0.0,0.0,0.1816101,-62,mobilenet_1.00_224/reshape_2/Reshape
SOFTMAX,272,1000.0,0.00014695346,-1.681654e-05,0.0019152572,3.0533663e-08,0.00390625,-128,StatefulPartitionedCall:0
