op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
CONV_2D,210,100352.0,0.016188215,0.0004706347,0.16317673,0.00026238803,0.023529412,-128,mobilenet_1.00_224/conv_pw_9_relu/Relu6;mobilenet_1.00_224/conv_pw_9_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise;mobilenet_1.00_224/conv_pw_9/Conv2D
DEPTHWISE_CONV_2D,214,100352.0,0.008194534,0.00027455573,0.0876655,6.726315e-05,0.023529412,-128,mobilenet_1.00_224/conv_dw_10_relu/Relu6;mobilenet_1.00_224/conv_dw_10_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise;mobilenet_1.00_224/conv_dw_10/depthwise
CONV_2D,218,100352.0,0.017793156,0.0012062996,0.40759543,0.00031838732,0.023529412,-128,mobilenet_1.00_224/conv_pw_10_relu/Relu6;mobilenet_1.00_224/conv_pw_10_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise;mobilenet_1.00_224/conv_pw_10/Conv2D
DEPTHWISE_CONV_2D,222,100352.0,0.006710695,-6.119385e-05,0.07986273,4.5056397e-05,0.023529412,-128,mobilenet_1.00_224/conv_dw_11_relu/Relu6;mobilenet_1.00_224/conv_dw_11_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise;mobilenet_1.00_224/conv_dw_11/depthwise
CONV_2D,226,100352.0,0.01611517,0.0005853733,0.19578013,0.00026020902,0.023529412,-128,mobilenet_1.00_224/conv_pw_11_relu/Relu6;mobilenet_1.00_224/conv_pw_11_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise;mobilenet_1.00_224/conv_pw_11/Conv2D
PAD,230,115200.0,0.0,0.0,0.0,0.0,0.023529412,-128,mobilenet_1.00_224/conv_pad_12/Pad
DEPTHWISE_CONV_2D,234,25088.0,0.00638583,0.00023985011,0.028706994,4.0842096e-05,0.023529412,-128,mobilenet_1.00_224/conv_dw_12_relu/Relu6;mobilenet_1.00_224/conv_dw_12_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_dw_12/depthwise
CONV_2D,238,50176.0,0.02129752,-0.0001333451,0.2673683,0.0004543812,0.023529412,-128,mobilenet_1.00_224/conv_pw_12_relu/Relu6;mobilenet_1.00_224/conv_pw_12_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_pw_13/Conv2D;mobilenet_1.00_224/conv_pw_12/Conv2D
DEPTHWISE_CONV_2D,242,50176.0,0.005589776,0.00014212601,0.07320068,3.12828e-05,0.023529412,-128,mobilenet_1.00_224/conv_dw_13_relu/Relu6;mobilenet_1.00_224/conv_dw_13_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_pw_13/Conv2D;mobilenet_1.00_224/conv_dw_13/depthwise
CONV_2D,246,50176.0,0.04905436,0.00077257236,0.59609216,0.0024127287,0.023529412,-128,mobilenet_1.00_224/conv_pw_13_relu/Relu6;mobilenet_1.00_224/conv_pw_13_bn/FusedBatchNormV3;mobilenet_1.00_224/conv_pw_13/Conv2D
MEAN,250,1024.0,0.006272483,0.0007588959,0.012485193,4.0021903e-05,0.023529412,-128,mobilenet_1.00_224/global_average_pooling2d_1/Mean
RESHAPE,257,1024.0,0.0,0.0,0.0,0.0,0.023529412,-128,mobilenet_1.00_224/reshape_1/Reshape
CONV_2D,261,1000.0,0.062231712,-0.0008394185,0.20286383,0.0038826673,0.17633928,-55,mobilenet_1.00_224/conv_preds/BiasAdd;mobilenet_1.00_224/conv_preds/Conv2D;mobilenet_1.00_224/conv_preds/BiasAdd/ReadVariableOp
RESHAPE,268,1000.0,0.0,0.0,0.0,0.0,0.17633928,-55,mobilenet_1.00_224/reshape_2/Reshape
SOFTMAX,272,1000.0,0.00015557678,-1.897658e-05,0.0019584608,3.3725037e-08,0.00390625,-128,StatefulPartitionedCall:0
